ability; здатність
accurate; точний
achieve; досягати
adhering; дотримуючись
adjusting; налаштування
adore; обожнюю
affection; пристрасть
affirming; підтвердження
all that remains; все що залишилося
along the way; по дорозі
ambiguity; двозначний
annual; щорічний
anxiety; тривога
appointment; призначення зустріч
appropriate; відповідний підходящий
approximately; приблизно
argue; сперечатися
arrangement; домовленість розміщення
arrogant; зарозумілий хамский
arrow; стріла
assessment; оцінка
assigned; призначений
at stake; на кону
barbed; колючий
barely; ледве
bearer; носій
beats me; не знаю
to belong; належати
below; нижче
belt; пояс
beyond; поза межами
boilerplate; шаблонний
bother; турбота
boundary; межа
brag; хвалитися
bummer; ппц
buzzkill; душніла
by no means; ні в якому разі
casually; випадково
to cause; викликати
certain; впевнений
clutter; безлад
co-worker; співробітник
coined; придуманий
come in handy; пригодиться
completely; повністю
condition; умова стан
confidently; впевнено
confusing; плутанина
conscious; свідомий
consideration; увага
constraints; обмеження
contribution; внесок
costly; дорогий
could you spare me a moment; чи не могли б ви уділити мені хвилину
count us in; враховуйте нас
coward; боягуз
cuisine; кухня
demand; вимога
dibs this's mine; чур це моє
disaster; лихо
discombobulate; збити з пантелику
disease; хвороба
disgusting; огидний
divorcement; розлучення
dizzy; запаморочення
do chores; виконувати домашні обов'язки
drafting; розробка
dreams come true; мрії збуваються
drought; засуха
due to unforeseen circumstances; у зв'язку з непередбаченими обставинами
duty; обов'язок
efficiently; ефективно
elderly; літній
embedded; вбудований
emphasize; підкреслити
enormous; величезний
enrich; збагатити
escape; втекти
even though; навіть якщо
excited; збуджений
expel; вигнати
expense; витрати
expression; вираз
exquisite; вишуканий
external; зовнішній
facilities; засоби
faint; слабкий
fair; справедливий
faith; віра
favor; послуга
fence; паркан
find out; дізнатися
finish up; закінчити
flooding; повені
forbidden; заборонено
fragrant; ароматний
frequently; часто
further; подальший
gamble; гра у азартні ігри
get away; втекти
giggle; хихикання
give out; роздавати
glitching; глючить
go straight; йти прямо
good call; хороший вибір
good riddance; скатертю дорога
grab; схопити
graduate; випускник
greet; привітати
grocery; гастрономічний магазин
guess; здогадуватись
handshake; рукостискання
hang out; роздати
